pid,name,team,pos,photo,mp,starts,mins,g,a,yc,rc,rating_best,xg,xa,gk_shots_faced,gk_xgot_faced,gk_goals_conceded,prog_passes,prog_carries,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xa_diff,xgi,gk_goals_prevented,xt_added_p90
71824,Pascal Gro,Brighton & Hove Albion,DMC,https://images.fotmob.com/image_resources/playerimages/167008.png,5,5,476,3,3,2,0,9.5,1.6,0.67,0,0.0,0,69,0,10,3,319,284,15,411,13,4,4,0,8,4,2,0,6,7.74,89,1.4,2.33,2.27,,0.128
373525,Joao Pedro,Chelsea,FW,https://images.fotmob.com/image_resources/playerimages/1021382.png,4,4,379,3,2,1,0,8.3,2.03,0.14,0,0.0,0,12,2,11,4,84,56,7,162,3,0,14,7,5,3,5,0,5,7.65,67,0.97,1.86,2.17,,0.0314
315227,Erling Haaland,Manchester City,FW,https://images.fotmob.com/image_resources/playerimages/737066.png,4,4,380,4,0,0,0,8.6,2.91,0.41,0,0.0,0,3,3,16,9,51,35,1,104,2,0,9,4,1,8,4,0,4,7.68,69,1.09,-0.41,3.32,,0.0492
123761,Bruno Fernandes,Manchester United,AMC,https://images.fotmob.com/image_resources/playerimages/422685.png,4,4,385,3,1,0,0,10.0,2.04,0.85,0,0.0,0,68,0,16,5,264,225,9,336,7,0,0,2,3,2,2,0,4,7.48,85,0.96,0.15,2.89,,0.1315
362824,Morgan Rogers,Chelsea,AMC,https://images.fotmob.com/image_resources/playerimages/883080.png,5,5,454,3,1,1,0,8.2,1.37,0.99,0,0.0,0,38,5,15,5,135,105,11,228,7,0,8,9,5,3,4,0,4,7.36,78,1.63,0.01,2.36,,0.0716
386153,Rayan Cherki,Manchester City,Sub,https://images.fotmob.com/image_resources/playerimages/1104053.png,4,3,224,2,2,1,0,8.9,0.85,1.09,0,0.0,0,27,4,7,3,185,170,10,232,1,0,0,5,5,1,5,0,4,7.55,92,1.15,0.91,1.94,,0.1764
457802,Mohamed Belloumi,Hull City,MR,https://images.fotmob.com/image_resources/playerimages/1231090.png,5,5,400,2,2,1,0,8.0,0.89,0.32,0,0.0,0,24,2,13,5,78,56,5,184,24,9,2,6,7,3,1,0,4,7.52,72,1.11,1.68,1.21,,-0.0169
395692,Cole Palmer,Chelsea,AMC,https://images.fotmob.com/image_resources/playerimages/1096353.png,5,5,463,2,2,1,0,9.1,1.49,0.57,0,0.0,0,35,4,17,5,169,137,11,261,10,1,1,9,4,1,10,0,4,7.26,81,0.51,1.43,2.06,,0.135
352825,Cody Gakpo,Liverpool,AML,https://images.fotmob.com/image_resources/playerimages/806552.png,4,3,299,1,3,0,0,8.6,0.45,1.23,0,0.0,0,34,2,8,1,97,82,8,169,9,5,1,4,4,2,4,0,4,7.32,85,0.55,1.77,1.68,,0.1068
344314,Marcus Tavernier,AFC Bournemouth,AML,https://images.fotmob.com/image_resources/playerimages/789630.png,4,4,359,3,0,2,0,8.1,1.37,0.85,0,0.0,0,31,0,13,8,131,111,8,224,10,0,3,3,3,5,8,0,3,7.57,85,1.63,-0.85,2.22,,0.1884
367185,Bukayo Saka,Arsenal,AMR,https://images.fotmob.com/image_resources/playerimages/961995.png,5,5,433,3,0,0,0,8.1,3.6,0.81,0,0.0,0,52,2,15,9,157,129,7,263,9,3,2,7,2,5,3,0,3,7.44,82,-0.6,-0.81,4.41,,0.0346
